pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4354	245	53	48	94	105	553	108	165	25	12	14	4
h---w	4235	856	421	422	358	371	815	591	728	352	197	95	61
s---h	6149	46	8	6	21	43	153	131	41	7	3	3	14
s---s	3212	103	34	21	43	397	727	433	136	11	9	7	91
s---w	1114	79	29	47	52	139	263	155	103	24	15	9	43
w---h	7396	83	38	83	79	207	437	233	63	16	5	1	16
w---s	1586	72	48	33	49	206	435	281	91	32	13	14	57
w---w	1691	183	99	123	167	275	522	272	164	77	47	35	96

average trip duration: 615.7961731943946 seconds = 00:10:15
