pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4145	297	91	32	125	79	588	141	174	56	20	11	21
h---w	3491	834	535	373	563	417	792	565	733	482	274	174	269
s---h	6103	47	11	12	20	49	163	137	36	2	8	5	32
s---s	2970	129	36	22	52	426	812	469	160	15	8	10	115
s---w	1000	85	43	49	60	147	283	166	115	32	25	10	57
w---h	7216	106	51	82	92	237	448	291	65	18	14	5	32
w---s	1443	85	44	39	61	217	461	311	113	36	20	15	72
w---w	1441	206	117	138	186	284	560	295	167	108	60	46	143

average trip duration: 723.4518729787999 seconds = 00:12:03
