ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	10.45739499155758	10.45739499155758	10.45739499155758	10.45739499155758
1	11.262923527270836	10.564829406076088	10.975862417026542	11.386895427976992
2	11.999865552521769	10.536830896038596	11.383953524293219	12.26361255306688
3	12.561436766137662	10.445751583372932	11.647690677070749	12.928240886804398
4	13.02420794483244	10.338316995216417	11.873601640039693	13.558597563021179
5	13.5396051233056	10.245176743841137	12.087682868772456	14.14799149525534
6	13.994286763535367	10.14504251068321	12.269025498745169	14.69138749041279
7	14.421370495663162	10.020654766087365	12.441111269696993	15.248627000649583
