pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4244	269	72	40	113	96	576	124	171	41	13	13	8
h---w	3880	842	504	383	494	365	783	595	753	411	231	151	110
s---h	6128	50	8	7	20	46	162	127	44	6	6	2	19
s---s	3091	112	33	25	51	406	774	456	143	12	10	11	100
s---w	1058	77	38	52	53	142	279	158	113	26	18	11	47
w---h	7290	103	45	84	92	217	446	265	66	18	9	5	17
w---s	1526	71	45	40	53	212	444	299	102	34	14	14	63
w---w	1570	202	101	138	174	284	535	294	169	85	50	45	104

average trip duration: 663.165266798419 seconds = 00:11:03
