pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4420	227	48	38	97	102	550	94	150	32	9	9	4
h---w	4471	820	429	411	310	346	839	563	724	333	155	56	45
s---h	6174	41	6	6	21	43	141	125	43	7	2	2	14
s---s	3318	98	33	16	41	380	678	419	124	11	8	8	90
s---w	1152	81	29	42	50	129	257	150	97	21	14	8	42
w---h	7444	90	29	81	70	197	428	223	60	16	5	1	13
w---s	1638	67	43	32	44	197	421	274	94	29	11	11	56
w---w	1794	177	81	130	162	266	522	230	163	67	37	31	91

average trip duration: 584.3811309737694 seconds = 00:09:44
