pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4548	203	37	27	94	98	510	77	146	25	11	4	0
h---w	5000	791	383	277	312	317	808	522	683	272	70	56	11
s---h	6217	36	1	5	19	35	128	128	34	4	1	3	14
s---s	3473	85	28	16	35	368	614	387	112	9	6	7	84
s---w	1221	71	29	41	42	124	231	144	91	18	14	6	40
w---h	7536	87	25	71	72	176	398	203	59	10	5	1	14
w---s	1739	61	36	28	43	191	390	253	81	26	8	10	51
w---w	1947	161	65	107	154	257	498	215	141	55	38	27	86

average trip duration: 528.7427012217032 seconds = 00:08:48
