pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4597	188	42	20	89	105	486	76	144	20	9	4	0
h---w	5201	778	397	200	288	303	839	496	658	222	64	53	3
s---h	6227	35	2	5	21	33	129	118	35	3	1	2	14
s---s	3569	82	27	14	32	352	578	370	102	6	6	6	80
s---w	1259	68	26	38	41	119	227	134	87	16	13	6	38
w---h	7593	78	25	69	72	169	372	196	56	10	4	1	12
w---s	1799	60	35	27	42	184	366	235	76	23	8	11	51
w---w	2017	156	58	104	157	249	479	207	134	52	29	28	81

average trip duration: 502.6560366510959 seconds = 00:08:22
